record_id,source_name,layer,layer_name,pubchem_cid,inchikey,existing_formula,canonical_smiles,Canonical_RDKit_SMILES,RDKit_MolecularFormula,RDKit_MolecularWeight,RDKit_LogP,RDKit_TPSA,RDKit_HBondDonors,RDKit_HBondAcceptors,RDKit_RotatableBonds,RDKit_RingCount,RDKit_AromaticRings,RDKit_AliphaticRings,RDKit_HeavyAtomCount,RDKit_HeteroAtoms,RDKit_FractionCSP3,RDKit_MolMR,RDKit_FormalCharge,RDKit_AtomCount,RDKit_CarbonCount,RDKit_NitrogenCount,RDKit_OxygenCount,RDKit_PhosphorusCount,RDKit_SulfurCount,PCA_PC1,PCA_PC2,PCA_PC3,network_degree,cross_layer_degree,betweenness_centrality
L0_6fd7b80b1330af19,Borax,0,Inorganic/mineral chemistry,16211214,CDMADVZSLOHIFP-UHFFFAOYSA-N,Na2B4O7·10H2O,B1(OB2OB(OB(O1)O2)[O-])[O-].O.O.O.O.O.O.O.O.O.O.[Na+].[Na+],O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[O-]B1OB2OB([O-])OB(O1)O2,H20B4Na2O17,381.37100000000015,-18.48220000000001,407.27,0.0,7.0,0.0,2.0,0.0,2.0,23.0,23.0,0.0,64.57900000000005,0.0,23.0,0.0,0.0,17.0,0.0,0.0,6.19737645036917,-7.592671872138115,-3.6334242226263775,1,0,0.0
L0_7da6add96d763c13,Chalcopyrite,0,Inorganic/mineral chemistry,19601290,DVRDHUBQLOKMHZ-UHFFFAOYSA-N,CuFeS2,[S-2].[S-2].[Fe+2].[Cu+2],[Cu+2].[Fe+2].[S-2].[S-2],CuFeS2,183.525,-0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,14.73,0.0,4.0,0.0,0.0,0.0,0.0,2.0,-3.1094707224761375,-1.1594085263272762,0.8806553511568019,0,0,0.0
L0_8b18b142f9f05540,Sylvite,0,Inorganic/mineral chemistry,4873,WCUXLLCKKVVCTQ-UHFFFAOYSA-M,KCl,[Cl-].[K+],[Cl-].[K+],ClK,74.551,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.202275431643878,-2.201900916909281,-0.21303471022245188,1,0,0.0
L0_9c182c4b8abdfed2,Carbon monoxide,0,Inorganic/mineral chemistry,281,UGFAIRIUMAVXCW-UHFFFAOYSA-N,CO,[C-]#[O+],[C-]#[O+],CO,28.009999999999998,-0.03751,19.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.9295,0.0,2.0,1.0,0.0,1.0,0.0,0.0,-3.389796218710955,-0.875972280721979,0.18306214631606077,0,0,0.0
L0_9e84a582e2f4e097,Halite,0,Inorganic/mineral chemistry,5234,FAPWRFPIFSIZLT-UHFFFAOYSA-M,NaCl,[Na+].[Cl-],[Cl-].[Na+],ClNa,58.443,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.2402935279731317,-2.2037213496890495,-0.20457518248224213,1,0,0.0
L0_a2bdc78162b620e9,Cobalt,0,Inorganic/mineral chemistry,104730,GUTLYIVDDKVIGB-UHFFFAOYSA-N,Co,[Co],[Co],Co,58.933,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.62835293433275,-0.9169208298511845,0.26838362009988137,0,0,0.0
L0_aed778121d5e11f6,Ammonia,0,Inorganic/mineral chemistry,222,QGZKDVFQNNGYKY-UHFFFAOYSA-N,NH3,N,N,H3N,17.031,0.16199999999999998,35.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0221,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-3.211192909998098,-0.9495684115457448,0.5042526401132744,0,0,0.0
L0_af3e3862e89ed6d2,Pyrite,0,Inorganic/mineral chemistry,14788,NFMAZVUSKIJEIH-UHFFFAOYSA-N,FeS2,S=[Fe]=S,[S]=[Fe]=[S],FeS2,119.97900000000001,1.2939,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,15.182,0.0,3.0,0.0,0.0,0.0,0.0,2.0,-3.2542555513576845,-0.9323869275012306,1.0248485969760022,0,0,0.0
L0_be292df0c6aee9c1,Barite,0,Inorganic/mineral chemistry,24414,TZCXTZWJZNENPQ-UHFFFAOYSA-L,BaSO4,[O-]S(=O)(=O)[O-].[Ba+2],O=S(=O)([O-])[O-].[Ba+2],BaO4S,233.391,-1.7187999999999997,80.25999999999999,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,16.2286,0.0,6.0,0.0,0.0,4.0,0.0,1.0,-1.5591285885445125,-1.9404282494647358,-0.2223942715001368,1,0,0.0
L0_c1f418a0e6bf9a26,Hydrogen cyanide,0,Inorganic/mineral chemistry,768,LELOWRISYMNNSU-UHFFFAOYSA-N,HCN,C#N,C#N,CHN,27.025999999999996,0.13978,23.79,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.67,0.0,2.0,1.0,1.0,0.0,0.0,0.0,-3.2096455045668275,-0.8077473089080427,0.5276018379871398,1,1,0.0
