PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,record_id,source_name,layer,layer_name,pubchem_cid,inchikey,existing_formula,canonical_smiles,Canonical_RDKit_SMILES,RDKit_MolecularFormula
-3.2542555513576845,-0.9323869275012306,1.0248485969760022,4.337826762075851,-2.625686664661528,0.6582895355131807,0.3751300734236511,0.4202846059490792,0.03648819112555088,0.1736571019338557,0.1057388862482614,0.14102917118410271,0.03951476896395666,-0.2500398919723913,-0.07856748938877382,0.011830947318648385,-0.07117620855726911,-2.3737037293411886e-16,-3.2701462341196545e-17,2.2675405383743823e-17,L0_af3e3862e89ed6d2,Pyrite,0,Inorganic/mineral chemistry,14788,NFMAZVUSKIJEIH-UHFFFAOYSA-N,FeS2,S=[Fe]=S,[S]=[Fe]=[S],FeS2
-1.5591285885445125,-1.9404282494647358,-0.2223942715001368,2.372528256528953,-1.1551462253424403,0.08679713894984377,-0.4036862934198844,0.3543701607022304,-0.5167202035748781,0.18192030953045546,0.4279823698033693,0.47552039302983506,-0.09577973149067369,0.3795124180085841,0.2207019221773399,-0.16367083271237698,0.14685903346251575,3.1925584540434944e-16,-8.090433288939101e-17,1.712322871593276e-17,L0_be292df0c6aee9c1,Barite,0,Inorganic/mineral chemistry,24414,TZCXTZWJZNENPQ-UHFFFAOYSA-L,BaSO4,[O-]S(=O)(=O)[O-].[Ba+2],O=S(=O)([O-])[O-].[Ba+2],BaO4S
-3.2096455045668275,-0.8077473089080427,0.5276018379871398,-0.44388349632074564,-0.21864684322906475,-0.6322135970019283,-0.4442522419544668,-0.14048424226436815,0.37597599243917534,-0.5835748150497967,0.14251785081466642,0.23074079612868886,-0.0003432820121878525,-0.15998324116557622,0.005417345701521768,-0.04262737406817149,-0.017413089306336033,-6.391461972343815e-17,1.5805344505995086e-18,2.868430411159746e-17,L0_c1f418a0e6bf9a26,Hydrogen cyanide,0,Inorganic/mineral chemistry,768,LELOWRISYMNNSU-UHFFFAOYSA-N,HCN,C#N,C#N,CHN
-3.7375461701329216,-0.9731364428863303,0.6742734424548843,1.886704360142229,-1.3427160706377064,0.09896212376353891,-0.09970976187879464,0.00634496699699504,0.30326314002647936,-0.09993228548966515,-0.33745357126390374,-0.07764068047701846,0.1451272166289045,-0.33080954734579077,-0.09567134653040475,0.04622162606881885,0.06821419051837135,-4.77181572144423e-17,4.146897610794382e-17,-4.447286120644199e-17,L0_d982e6a7ff42c25e,Hydrogen sulfide,0,Inorganic/mineral chemistry,402,RWSOTUBLDIXVET-UHFFFAOYSA-N,H2S,S,S,H2S
-3.159623345477285,-0.92785562303731,1.0037916833465204,4.4002889117871975,-2.6502252885659594,0.6511572487138587,0.3353022235345406,0.423385080589415,0.004577534349798244,0.16565488137862194,0.12735124146690963,0.16142039573993938,-0.00861757788846986,0.024204847152241155,0.04205170015994816,-0.008223484503569719,-0.010937922742463793,-4.7533564711059816e-17,2.6309585178972316e-17,1.93049679903731e-17,L0_dd1c355b8cc591e6,Molybdenite,0,Inorganic/mineral chemistry,14823,CWQXQMHSOZUFJS-UHFFFAOYSA-N,MoS2,S=[Mo]=S,[S]=[Mo]=[S],MoS2
-2.8852355525241045,-1.1536841173460948,-0.01883102774889998,-0.27000752463379457,-0.14310101042713036,-0.6052211355419242,-0.6632380535866756,-0.41359158256332296,0.18847754572272263,-0.1325159050769009,0.1719595877889837,0.4630683549685209,0.04777659901625198,-0.1983790943722675,-0.05227198343472588,-0.13092292974546885,0.0007424501999146457,-1.609032926050845e-17,-5.996567025387036e-17,5.985563816045298e-17,L0_ddf74783a6568c47,Carbon dioxide,0,Inorganic/mineral chemistry,280,CURLTUGMZLYLDI-UHFFFAOYSA-N,CO2,C(=O)=O,O=C=O,CO2
-3.00707511786284,-0.9441311744111982,0.5412095059271437,2.2535389382748092,-1.4965381117077268,0.04111160570377348,-0.2895330513717843,0.026080375158987562,0.0718352697437345,-0.12521177118536925,-0.04114735519520411,0.23090119830991065,-0.16413405263885744,0.9984739672148711,0.43991713858352083,0.1000113316033018,0.25965894102635684,-1.4574966230687328e-16,-2.6552521720899754e-17,-2.9815710825382468e-18,L0_e1129d7f3591a5d9,Galena,0,Inorganic/mineral chemistry,14819,XCAUINMIESBTBL-UHFFFAOYSA-N,PbS,S=[Pb],[S]=[Pb],PbS
-3.3114389762494505,-0.9184354981919,0.6177193743158453,2.1017374891875313,-1.4799289389428358,-0.00277075526435203,-0.1496560501189177,-0.04486995481844674,0.18051261540744057,-0.10619370422923402,0.0030853541170196776,0.2176028478234699,0.04220093005414538,0.4085793631724174,0.1387878047306154,-0.014786019137466523,0.02174390036609125,1.3135899281480271e-17,9.846415015680597e-17,-3.959164171616283e-18,L0_f981390c58218f98,Greenockite,0,Inorganic/mineral chemistry,14783,CJOBVZJTOIVNNF-UHFFFAOYSA-N,CdS,S=[Cd],[S]=[Cd],CdS
-0.4145239472654872,-0.6454965927073679,0.15765435566871652,-0.6822548603141083,0.13071910398771924,1.3662309594706823,0.17122273970907323,-0.3899024547717692,1.1482411613986683,-0.7253037045891088,0.0740415402932286,-0.22153686336504355,-0.0651711889022283,0.13958629340546636,-0.13087281299520662,-0.03867182756182665,0.019584733018858998,-1.6576949974510817e-16,5.096087114576903e-18,2.637670916417193e-19,L3_e47a9c4ce3cf16e5,cyclo(gly-ala),3,Pre-nucleic/functional systems,7817,BXRNXXXXHLBUKK-UHFFFAOYSA-N,,C1C(=O)NCC(=O)N1,O=C1CNC(=O)CN1,C4H6N2O2
-1.3929707076567994,-1.0614841283875214,1.0131345042471422,-0.7072036468165965,0.09445061406949037,-0.6829377952743625,0.2358021244926221,1.414212408752499,0.5266551048032809,-0.8320428240973485,0.4343232021356136,-0.24290025462179882,-0.3798580888753283,0.0023336854628253577,-0.06585209424967811,-0.019592964817336824,-0.02316055072115836,2.0865884602185484e-17,7.746376118631328e-17,1.9879720961793045e-17,PUBCHEM_10005,dicyandiamide,2,Prebiotic building blocks,10005,QGBSISYHAICWAH-UHFFFAOYSA-N,,C(#N)N=C(N)N,N#CN=C(N)N,C2H4N4
