PC,explained_variance_percent,cumulative_variance_percent
PC1,58.513335028369895,58.513335028369895
PC2,11.711285932182038,70.22462096055193
PC3,7.789607617551737,78.01422857810367
PC4,5.457948761605973,83.47217733970965
PC5,4.620298459556974,88.09247579926662
PC6,3.8932954061280696,91.9857712053947
PC7,2.994111375620848,94.97988258101554
PC8,2.039764684546411,97.01964726556196
PC9,1.127237747223877,98.14688501278583
PC10,0.824649048594845,98.97153406138068
PC11,0.42609093330685954,99.39762499468753
PC12,0.26245926792055924,99.6600842626081
PC13,0.14611636480577972,99.80620062741387
PC14,0.11935457300482745,99.9255552004187
PC15,0.0414867094663411,99.96704190988504
PC16,0.024533790615493503,99.99157570050053
PC17,0.008424299499457322,99.99999999999999
PC18,2.3866624722985225e-31,99.99999999999999
PC19,5.203872486262013e-32,99.99999999999999
PC20,1.4496600131709992e-32,99.99999999999999
