layer_gap,n,mean,sd,median,min,max
0,4034,0.8735629027188797,0.15427652986976303,0.9230769230769231,0.0,1.0
1,6600,0.9193613625783467,0.09987171871236004,0.95,0.15094339622641506,1.0
2,3816,0.9459692414909315,0.0810319188798631,0.962962962962963,0.2727272727272727,1.0
3,1908,0.9507454016189932,0.06382863417823727,0.9622641509433962,0.33333333333333337,1.0
4,908,0.9710384576432668,0.023472412825843773,0.9699231117141565,0.8867924528301887,1.0
5,312,0.9916512712617024,0.013471249535197143,1.0,0.9411764705882353,1.0
