descriptor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
RDKit_MolecularWeight,0.2807181119995924,0.01344171598001771,-0.06246348147138761,0.1852884710366487,-0.07279166864424289,-0.021157301215993143,-0.11814581221961977,0.009197285207929447,-0.09466015548742189,-0.023737883156910437,0.06411115007200748,0.0604887734087982,-0.14278037174362543,0.8135228876539673,0.357806212441374,-0.059489707399113245,0.17869157446668307,3.837650920094249e-16,-9.90996384126788e-17,-3.6606053123587594e-18
RDKit_LogP,-0.105576956166553,0.5120325749318084,0.17898042300426903,0.08192117790150787,-0.2616218998376219,-0.2883864243572637,0.043520463006849995,-0.2849117116066065,0.10428663393460706,-0.053555529851501284,0.5987231948595209,-0.10364996081085272,0.25607705170425504,0.018329321004363436,0.024540988222732957,0.0504837094780744,-0.035080682875201455,-1.8376624517767027e-16,-8.229261498637954e-17,-5.662911821357049e-17
RDKit_TPSA,0.2614638699004595,-0.2158796110501412,-0.14805178263037438,-0.00907089560673284,0.11143173087215706,-0.05522997176115687,-0.0424399904416947,0.20201301218611686,-0.14752808658107847,-0.01812623714185068,0.2601609310511536,-0.384722647136184,0.19520996630372706,-0.30134232431891206,0.5968181247025968,-0.19311225522247788,-0.21158111906863816,4.680894397698385e-16,-1.327258119959204e-16,1.1605982762940636e-16
RDKit_HBondDonors,0.24597326821533033,0.053583697078425155,0.021819496876058768,-0.08974236124945281,0.0554236593072562,-0.15194445870811898,0.4556778723780395,0.19577192141536298,0.5042116189925403,0.5778698739530332,-0.10137533241621631,-0.13526138860746517,0.0929038653751455,0.1212702176771113,0.01426627893841188,0.12048761528356866,-0.034268826693031634,-3.918846657348293e-17,2.5064460562788765e-16,1.0303405271771583e-16
RDKit_HBondAcceptors,0.27814950590516213,-0.09527908032460522,-0.02333575633520134,0.013639452568140921,-0.0390271867171896,-0.002981827042522462,0.19723860262217385,0.0016342155436318787,-0.06943379791369761,0.1028810444161658,0.3252798083419354,0.7959504706938121,-0.16031826537627,-0.24999077773451198,0.15525102686394687,0.06852703376545899,-0.02530947325888786,-8.377824454282235e-16,-2.2867747194823347e-16,-3.3822441943639507e-17
RDKit_RotatableBonds,0.17276116632547484,0.4281190278410443,-0.21584894579591474,0.1483035399898827,0.05489353580820409,-0.1681509180548946,-0.22522101287495763,0.2986217454920699,0.10063270309425415,-0.1944875980676966,-0.38231827914079164,0.3013993804008046,0.5014594624981522,-0.07672694412281908,0.0479997238127861,-0.04952912067789749,0.005342605003537126,1.784232320063504e-16,1.530106273618874e-16,-1.5857275136982425e-16
RDKit_RingCount,0.25114773321159395,-0.05951845608782939,0.313820380123746,-0.11782723471599382,-0.12320826179612585,0.21165985647627714,-0.026861499101659008,-0.27836079312579204,-0.016665811216485565,0.004529457513637037,-0.16291773803609594,0.012154396129434421,0.2367476015215276,-0.01779947040977275,0.06598801090974558,-0.0021558963979695636,-0.003288098998218183,0.7466451388429494,-0.139545472618241,-0.1347339158326268
RDKit_AromaticRings,0.20990235776642904,-0.001286253097449765,0.4837645336773008,-0.15781354447132512,-0.14999137316727562,-0.03722807924012827,0.0008921983007437818,-0.19832572117607494,-0.4133065416483816,0.2192496272204983,-0.2748107162615489,0.01660444202082549,0.24552478283952234,-0.017142612235013545,0.0614065249215186,-0.005785133678453633,0.0008807765880912257,-0.5072956646969554,0.09481185854504272,0.09154272603375625
RDKit_AliphaticRings,0.2320557754185359,-0.12538855098477042,-0.03178391371048331,-0.02267133191530738,-0.04553987084216122,0.5066337730794258,-0.0587289810790156,-0.30705776360554515,0.5647788829829712,-0.30882042047235936,0.05088245383237112,0.0018661078141941302,0.1495178330981643,-0.013154103902707324,0.05188419518232551,0.0037945424271116496,-0.008309830399653956,-0.3492077621560068,0.06526575969882294,0.06301538279260654
RDKit_HeavyAtomCount,0.28769656000670774,0.07880723514469,-0.02711488967977577,0.038313823437327546,0.007065745867263157,0.01778306665876833,-0.13570092233779824,0.02186638286935235,-0.05357269629407926,0.033779750058841616,0.06505456707516527,-0.06484533752619746,-0.11676436789411605,0.02304122971612957,-0.26715467262425635,-0.0326277470593517,-0.29235887156527496,-0.21019678520611618,-0.5272317468773744,-0.6187722227325763
RDKit_HeteroAtoms,0.27091889194996915,-0.199476538867912,-0.11703400925264726,0.0967173560215047,-0.003310040535724233,-0.0757523405419458,0.006755082337077055,0.0312440640337805,-0.15040613831769326,-0.10128797717129734,0.12037719172722022,-0.052417396035883856,0.16331692229839834,0.15694676587559794,-0.3891193959121655,0.2662886961833451,-0.394051473198675,0.09523345532375263,0.6000862220049915,-0.09376791961111045
